year,rank_date,eligible_names_at_year_start,observed_names_in_daily_panel,selected_but_unobserved,mid_year_exits
2010,2009-12-31,1000,1000,0,0
2011,2010-12-31,1000,1000,0,0
2012,2011-12-30,1000,1000,0,0
2013,2012-12-31,1000,1000,0,0
2014,2013-12-31,1000,1000,0,0
2015,2014-12-31,1000,1000,0,0
2016,2015-12-31,1000,1000,0,0
2017,2016-12-30,1000,1000,0,0
2018,2017-12-29,1000,1000,0,0
2019,2018-12-31,1000,1000,0,0
2020,2019-12-31,1000,1000,0,0
2021,2020-12-31,1000,1000,0,0
2022,2021-12-31,1000,1000,0,0
2023,2022-12-30,1000,1000,0,0
2024,2023-12-29,1000,1000,0,0
