year,OK,MISSING_DATA,PRICE_FAIL,ADV_FAIL,MCAP_FAIL,VOL_FAIL,EARN_WINDOW,NOT_YEARLY_UNIVERSE
2000,0,0,0,0,0,0,0,232109
2001,0,0,0,0,0,0,0,233039
2002,0,0,0,0,0,0,0,243068
2003,0,0,0,0,0,0,0,247321
2004,0,0,0,0,0,0,0,254747
2005,0,0,0,0,0,0,0,262396
2006,0,0,0,0,0,0,0,267707
2007,0,0,0,0,0,0,0,276604
2008,0,0,0,0,0,0,0,284969
2009,0,0,0,0,0,0,0,286649
2010,131446,0,16731,97440,4595,15,1773,41215
2011,141628,0,12995,91899,2181,106,3190,47498
2012,140387,0,10663,93796,2086,82,2985,54580
2013,153058,0,4732,88497,2798,56,2858,64900
2014,172665,0,2622,72476,53,101,4083,76852
2015,181280,0,2551,61256,0,16,6895,87691
2016,186990,0,1818,55544,0,288,7358,95880
2017,196332,0,989,45500,0,232,7947,105344
2018,210123,0,395,31589,0,119,8773,114209
2019,208368,0,1171,33502,0,158,8798,122040
2020,208442,0,1738,29194,0,4540,9086,128510
2021,223516,0,48,18046,0,334,10056,137593
2022,224434,0,165,15548,0,432,10420,142339
2023,225744,0,405,12754,0,234,10849,145094
2024,232691,1000,0,6287,0,523,11499,150613
