Year,Tier A,Tier B,Tier C,Total stock-days,Tier A pct,Tier B pct,Tier C pct
2010,106099,19293,6054,131446,80.71679625093195,14.677510156261885,4.605693592806171
2011,115783,19713,6132,141628,81.75148981839749,13.918857852966928,4.32965232863558
2012,116592,18421,5374,140387,83.05042489689217,13.121585331975183,3.8279897711326547
2013,122883,22150,8025,153058,80.28525134262829,14.471638202511466,5.243110454860249
2014,135520,27710,9435,172665,78.48724408536762,16.04841745576695,5.464338458865433
2015,141679,31228,8373,181280,78.15478817299206,17.22639011473963,4.618821712268314
2016,143742,33563,9685,186990,76.87149045403497,17.94908818653404,5.179421359430986
2017,151697,34766,9869,196332,77.26555019049364,17.707760324348556,5.026689485157794
2018,164707,35879,9537,210123,78.38599296602466,17.07523688506256,4.538770148912779
2019,167789,31867,8712,208368,80.52532058665437,15.293615142440299,4.181064270905321
2020,167173,32824,8445,208442,80.20120705040252,15.747306205083428,4.051486744514062
2021,178315,34762,10439,223516,79.77728663719823,15.552354193883211,4.670359168918556
2022,180333,35001,9100,224434,80.35012520384612,15.59523066914995,4.05464412700393
2023,184217,32374,9153,225744,81.60438372669927,14.341023460202706,4.054592813098023
2024,190075,34482,8134,232691,81.685583026417,14.818794022974673,3.4956229506083174
