feature,mean_ic,n_days,decision,screen_year,fold_end
feature_r_overnight_t,0.01865,754,keep,2012,2012-12-31
feature_earnings_today,,0,keep (categorical),2012,2012-12-31
feature_r_overnight_t_norm,0.03807,754,keep,2012,2012-12-31
feature_r_overnight_t_rank,0.01865,754,keep,2012,2012-12-31
feature_r_overnight_t_norm_rank,0.03807,754,keep,2012,2012-12-31
feature_abs_r_overnight_t_norm,0.00477,754,drop,2012,2012-12-31
feature_r_intraday_lag1,-0.03065,754,flip,2012,2012-12-31
feature_r_close_to_close_lag1,-0.02065,754,flip,2012,2012-12-31
feature_r_overnight_lag1,0.02483,753,keep,2012,2012-12-31
feature_r_overnight_lag2,0.00742,752,drop,2012,2012-12-31
feature_r_overnight_lag3,0.02099,751,keep,2012,2012-12-31
feature_r_overnight_lag4,0.00714,750,drop,2012,2012-12-31
feature_r_overnight_lag5,0.01751,749,keep,2012,2012-12-31
feature_r_overnight_ma5,0.01915,751,keep,2012,2012-12-31
feature_r_overnight_ma10,0.02127,749,keep,2012,2012-12-31
feature_r_overnight_ma20,0.02353,744,keep,2012,2012-12-31
feature_r_overnight_std20,0.02709,744,keep,2012,2012-12-31
feature_r_overnight_cum5,0.01864,753,keep,2012,2012-12-31
feature_r_intraday_lag2,-0.01935,752,flip,2012,2012-12-31
feature_r_intraday_lag3,-0.01532,751,flip,2012,2012-12-31
feature_r_intraday_ma5,-0.03139,751,flip,2012,2012-12-31
feature_r_intraday_sum5_rank,-0.03139,751,flip,2012,2012-12-31
feature_r_intraday_sum10,-0.02407,749,flip,2012,2012-12-31
feature_r_intraday_sum10_rank,-0.02407,749,flip,2012,2012-12-31
feature_r_intraday_sum20_rank,-0.02187,744,flip,2012,2012-12-31
feature_adv20_lag1,0.00784,754,drop,2012,2012-12-31
feature_vol20_lag1,0.02782,754,keep,2012,2012-12-31
feature_vol5_lag1,0.02377,751,keep,2012,2012-12-31
feature_vol60_lag1,0.03113,724,keep,2012,2012-12-31
feature_parkinson_vol20_lag1,0.03006,744,keep,2012,2012-12-31
feature_gk_vol20_lag1,0.03007,744,keep,2012,2012-12-31
feature_short_dsi,0.01659,754,keep,2012,2012-12-31
feature_short_days_to_cover,-0.00722,754,drop,2012,2012-12-31
feature_short_days_to_cover_chg,-0.00451,754,drop,2012,2012-12-31
short_dsi_pct,0.01659,754,keep,2012,2012-12-31
short_dtc_pct,-0.00722,754,drop,2012,2012-12-31
feature_day_of_week,,0,keep (categorical),2012,2012-12-31
feature_month,,0,keep (categorical),2012,2012-12-31
feature_open_to_prev_high,-0.02188,753,flip,2012,2012-12-31
feature_open_to_prev_low,0.00115,753,drop,2012,2012-12-31
feature_open_in_prev_range,-0.00048,753,drop,2012,2012-12-31
feature_close_position_lag1,-0.02675,753,flip,2012,2012-12-31
feature_range_ratio_lag1,0.02799,753,keep,2012,2012-12-31
