screen_year,group_id,group_name,decision_base,feature_count
2012,A,Current overnight gap,drop,4
2012,A,Current overnight gap,keep,20
2012,B,Prior close returns,flip,8
2012,C,Overnight history,drop,8
2012,C,Overnight history,keep,32
2012,D,Intraday history,flip,28
2012,E,Volatility and liquidity,drop,4
2012,E,Volatility and liquidity,keep,20
2012,F,Short interest and borrow pressure,drop,12
2012,F,Short interest and borrow pressure,keep,8
2012,G,Calendar,keep,8
2012,H,Gap and range,drop,8
2012,H,Gap and range,flip,8
2012,H,Gap and range,keep,4
2012,I,Volume interaction,drop,8
2012,J,DS/TOI overnight-intraday spread,keep,24
2012,K,Session beta and SEOR,keep,12
2012,L,Jump and PEAD,drop,4
2012,L,Jump and PEAD,keep,4
2012,M,Four-factor overnight style,drop,4
2012,M,Four-factor overnight style,flip,8
2012,M,Four-factor overnight style,keep,4
2012,N,Enhanced momentum/reversal,drop,4
2012,N,Enhanced momentum/reversal,flip,8
2012,N,Enhanced momentum/reversal,keep,12
2013,A,Current overnight gap,drop,4
2013,A,Current overnight gap,keep,20
2013,B,Prior close returns,flip,8
2013,C,Overnight history,drop,8
2013,C,Overnight history,keep,32
2013,D,Intraday history,flip,28
2013,E,Volatility and liquidity,drop,4
2013,E,Volatility and liquidity,keep,20
2013,F,Short interest and borrow pressure,drop,12
2013,F,Short interest and borrow pressure,keep,8
2013,G,Calendar,keep,8
2013,H,Gap and range,drop,8
2013,H,Gap and range,flip,8
2013,H,Gap and range,keep,4
2013,I,Volume interaction,drop,8
2013,J,DS/TOI overnight-intraday spread,keep,24
2013,K,Session beta and SEOR,keep,12
2013,L,Jump and PEAD,drop,4
2013,L,Jump and PEAD,keep,4
2013,M,Four-factor overnight style,drop,4
2013,M,Four-factor overnight style,flip,8
2013,M,Four-factor overnight style,keep,4
2013,N,Enhanced momentum/reversal,drop,4
2013,N,Enhanced momentum/reversal,flip,8
2013,N,Enhanced momentum/reversal,keep,12
2014,A,Current overnight gap,drop,4
2014,A,Current overnight gap,keep,20
2014,B,Prior close returns,flip,8
2014,C,Overnight history,drop,4
2014,C,Overnight history,keep,36
2014,D,Intraday history,flip,28
2014,E,Volatility and liquidity,keep,24
2014,F,Short interest and borrow pressure,drop,12
2014,F,Short interest and borrow pressure,keep,8
2014,G,Calendar,keep,8
2014,H,Gap and range,drop,8
2014,H,Gap and range,flip,8
2014,H,Gap and range,keep,4
2014,I,Volume interaction,drop,8
2014,J,DS/TOI overnight-intraday spread,keep,24
2014,K,Session beta and SEOR,keep,12
2014,L,Jump and PEAD,drop,4
2014,L,Jump and PEAD,keep,4
2014,M,Four-factor overnight style,drop,4
2014,M,Four-factor overnight style,flip,4
2014,M,Four-factor overnight style,keep,8
2014,N,Enhanced momentum/reversal,drop,4
2014,N,Enhanced momentum/reversal,flip,8
2014,N,Enhanced momentum/reversal,keep,12
2015,A,Current overnight gap,drop,4
2015,A,Current overnight gap,keep,20
2015,B,Prior close returns,flip,8
2015,C,Overnight history,keep,40
2015,D,Intraday history,flip,28
2015,E,Volatility and liquidity,keep,24
2015,F,Short interest and borrow pressure,drop,20
2015,G,Calendar,keep,8
2015,H,Gap and range,drop,8
2015,H,Gap and range,flip,8
2015,H,Gap and range,keep,4
2015,I,Volume interaction,drop,8
2015,J,DS/TOI overnight-intraday spread,keep,24
2015,K,Session beta and SEOR,keep,12
2015,L,Jump and PEAD,drop,4
2015,L,Jump and PEAD,keep,4
2015,M,Four-factor overnight style,drop,4
2015,M,Four-factor overnight style,flip,4
2015,M,Four-factor overnight style,keep,8
2015,N,Enhanced momentum/reversal,drop,4
2015,N,Enhanced momentum/reversal,flip,8
2015,N,Enhanced momentum/reversal,keep,12
2016,A,Current overnight gap,drop,4
2016,A,Current overnight gap,keep,20
2016,B,Prior close returns,flip,8
2016,C,Overnight history,drop,4
2016,C,Overnight history,keep,36
2016,D,Intraday history,flip,28
2016,E,Volatility and liquidity,keep,24
2016,F,Short interest and borrow pressure,drop,20
2016,G,Calendar,keep,8
2016,H,Gap and range,drop,8
2016,H,Gap and range,flip,8
2016,H,Gap and range,keep,4
2016,I,Volume interaction,drop,8
2016,J,DS/TOI overnight-intraday spread,keep,24
2016,K,Session beta and SEOR,keep,12
2016,L,Jump and PEAD,drop,4
2016,L,Jump and PEAD,keep,4
2016,M,Four-factor overnight style,drop,4
2016,M,Four-factor overnight style,flip,4
2016,M,Four-factor overnight style,keep,8
2016,N,Enhanced momentum/reversal,drop,4
2016,N,Enhanced momentum/reversal,flip,8
2016,N,Enhanced momentum/reversal,keep,12
2017,A,Current overnight gap,drop,4
2017,A,Current overnight gap,keep,20
2017,B,Prior close returns,flip,8
2017,C,Overnight history,drop,4
2017,C,Overnight history,keep,36
2017,D,Intraday history,flip,28
2017,E,Volatility and liquidity,keep,24
2017,F,Short interest and borrow pressure,drop,20
2017,G,Calendar,keep,8
2017,H,Gap and range,drop,8
2017,H,Gap and range,flip,8
2017,H,Gap and range,keep,4
2017,I,Volume interaction,drop,8
2017,J,DS/TOI overnight-intraday spread,keep,24
2017,K,Session beta and SEOR,keep,12
2017,L,Jump and PEAD,drop,4
2017,L,Jump and PEAD,keep,4
2017,M,Four-factor overnight style,drop,4
2017,M,Four-factor overnight style,flip,4
2017,M,Four-factor overnight style,keep,8
2017,N,Enhanced momentum/reversal,drop,4
2017,N,Enhanced momentum/reversal,flip,8
2017,N,Enhanced momentum/reversal,keep,12
2018,A,Current overnight gap,drop,4
2018,A,Current overnight gap,keep,20
2018,B,Prior close returns,flip,8
2018,C,Overnight history,drop,8
2018,C,Overnight history,keep,32
2018,D,Intraday history,flip,28
2018,E,Volatility and liquidity,keep,24
2018,F,Short interest and borrow pressure,drop,20
2018,G,Calendar,keep,8
2018,H,Gap and range,drop,8
2018,H,Gap and range,flip,8
2018,H,Gap and range,keep,4
2018,I,Volume interaction,drop,8
2018,J,DS/TOI overnight-intraday spread,keep,24
2018,K,Session beta and SEOR,keep,12
2018,L,Jump and PEAD,drop,4
2018,L,Jump and PEAD,keep,4
2018,M,Four-factor overnight style,drop,4
2018,M,Four-factor overnight style,flip,4
2018,M,Four-factor overnight style,keep,8
2018,N,Enhanced momentum/reversal,drop,4
2018,N,Enhanced momentum/reversal,flip,8
2018,N,Enhanced momentum/reversal,keep,12
2019,A,Current overnight gap,drop,12
2019,A,Current overnight gap,keep,12
2019,B,Prior close returns,flip,8
2019,C,Overnight history,drop,8
2019,C,Overnight history,keep,32
2019,D,Intraday history,flip,28
2019,E,Volatility and liquidity,keep,24
2019,F,Short interest and borrow pressure,drop,20
2019,G,Calendar,keep,8
2019,H,Gap and range,drop,8
2019,H,Gap and range,flip,8
2019,H,Gap and range,keep,4
2019,I,Volume interaction,drop,8
2019,J,DS/TOI overnight-intraday spread,keep,24
2019,K,Session beta and SEOR,keep,12
2019,L,Jump and PEAD,drop,4
2019,L,Jump and PEAD,keep,4
2019,M,Four-factor overnight style,drop,4
2019,M,Four-factor overnight style,flip,4
2019,M,Four-factor overnight style,keep,8
2019,N,Enhanced momentum/reversal,drop,4
2019,N,Enhanced momentum/reversal,flip,8
2019,N,Enhanced momentum/reversal,keep,12
2020,A,Current overnight gap,drop,12
2020,A,Current overnight gap,keep,12
2020,B,Prior close returns,flip,8
2020,C,Overnight history,drop,8
2020,C,Overnight history,keep,32
2020,D,Intraday history,flip,28
2020,E,Volatility and liquidity,keep,24
2020,F,Short interest and borrow pressure,drop,20
2020,G,Calendar,keep,8
2020,H,Gap and range,drop,8
2020,H,Gap and range,flip,8
2020,H,Gap and range,keep,4
2020,I,Volume interaction,drop,8
2020,J,DS/TOI overnight-intraday spread,keep,24
2020,K,Session beta and SEOR,keep,12
2020,L,Jump and PEAD,drop,4
2020,L,Jump and PEAD,keep,4
2020,M,Four-factor overnight style,drop,4
2020,M,Four-factor overnight style,flip,4
