year,mean_ic,std_ic,t_statistic,ic_positive_fraction,n_days
2013,0.07111,0.111705,10.1056,0.7857,252
2014,0.060714,0.123658,7.7942,0.7421,252
2015,0.04218,0.127761,5.2409,0.6627,252
2016,0.03351,0.154762,3.4373,0.6111,252
2017,0.050347,0.151631,5.2604,0.6335,251
2018,0.041646,0.192713,3.4238,0.6215,251
2019,0.026301,0.212332,1.9663,0.619,252
2020,0.016093,0.224182,1.1418,0.5415,253
2021,0.037715,0.205134,2.9186,0.5794,252
2022,0.017512,0.216775,1.2799,0.506,251
2023,0.011613,0.169642,1.0823,0.56,250
2024,0.006796,0.14762,0.7294,0.5418,251
