aum_label,aum,year,net_sharpe,net_ret (%),trade_days,n_long_avg_all,n_short_avg_all,n_long_avg_traded,n_short_avg_traded
50M,50000000.0,2013,0.765,0.68,35,4.17,4.17,30.0,30.0
50M,50000000.0,2014,0.504,0.8,69,9.15,9.15,33.4,33.4
50M,50000000.0,2015,-0.206,-0.6,39,5.62,5.62,36.3,36.3
50M,50000000.0,2016,0.494,1.5,36,5.27,5.27,36.9,36.9
50M,50000000.0,2017,1.47,2.42,56,8.61,8.61,38.6,38.6
50M,50000000.0,2018,0.683,2.07,69,11.35,11.35,41.3,41.3
50M,50000000.0,2019,-0.988,-1.76,21,3.45,3.45,41.4,41.4
50M,50000000.0,2020,0.094,0.48,61,9.37,9.37,38.9,38.9
50M,50000000.0,2021,1.149,2.76,23,4.12,4.12,45.1,45.1
50M,50000000.0,2022,1.189,0.95,5,0.9,0.9,45.2,45.2
50M,50000000.0,2023,-0.074,-0.15,10,1.82,1.82,45.4,45.4
50M,50000000.0,2024,,0.0,0,0.0,0.0,0.0,0.0
250M,250000000.0,2013,0.935,0.89,35,4.17,4.17,30.0,30.0
250M,250000000.0,2014,0.812,1.38,69,9.15,9.15,33.4,33.4
250M,250000000.0,2015,-0.266,-0.8,39,5.62,5.62,36.3,36.3
250M,250000000.0,2016,0.576,1.74,36,5.27,5.27,36.9,36.9
250M,250000000.0,2017,1.392,2.3,56,8.61,8.61,38.6,38.6
250M,250000000.0,2018,0.759,2.31,69,11.35,11.35,41.3,41.3
250M,250000000.0,2019,-1.106,-2.0,21,3.45,3.45,41.4,41.4
250M,250000000.0,2020,0.098,0.5,61,9.37,9.37,38.9,38.9
250M,250000000.0,2021,1.09,2.64,23,4.12,4.12,45.1,45.1
250M,250000000.0,2022,1.135,0.94,5,0.9,0.9,45.2,45.2
250M,250000000.0,2023,-0.118,-0.23,10,1.82,1.82,45.4,45.4
250M,250000000.0,2024,,0.0,0,0.0,0.0,0.0,0.0
1B,1000000000.0,2013,1.039,1.49,35,4.17,4.17,30.0,30.0
1B,1000000000.0,2014,1.75,6.63,69,9.15,9.15,33.4,33.4
1B,1000000000.0,2015,-0.239,-0.94,39,5.62,5.62,36.3,36.3
1B,1000000000.0,2016,0.784,2.37,36,5.27,5.27,36.9,36.9
1B,1000000000.0,2017,1.369,2.47,56,8.61,8.61,38.6,38.6
1B,1000000000.0,2018,1.433,4.63,69,11.35,11.35,41.3,41.3
1B,1000000000.0,2019,-1.204,-2.12,21,3.45,3.45,41.4,41.4
1B,1000000000.0,2020,0.985,4.46,61,9.37,9.37,38.9,38.9
1B,1000000000.0,2021,1.241,3.03,23,4.12,4.12,45.1,45.1
1B,1000000000.0,2022,1.077,1.05,5,0.9,0.9,45.2,45.2
1B,1000000000.0,2023,-0.344,-0.48,10,1.82,1.82,45.4,45.4
1B,1000000000.0,2024,,0.0,0,0.0,0.0,0.0,0.0
