aum_label,aum,date,instrument_id,signed_position,abs_position,max_position_by_adv,feature_short_dsi,short_dsi,short_dsi_pct,borrow_tier,target_r_overnight_next,adv_dollar,adv_share_pct,cap_utilization,gross_pnl_contribution,high_short_interest_gt_10pct
1b,1000000000.0,2013-04-05,4,16200202.2685,16200202.2685,16200202.2685,0.09762265773012156,0.09762265773012156,0.8870829769033362,B,0.001961580541161023,324004045.37,5.0,1.0,31778.001532762268,False
1b,1000000000.0,2013-04-05,9,14096032.305275,14096032.305275,14096032.305275,0.01433784979624983,0.01433784979624983,0.20615911035072712,A,0.003983682039505387,281920646.1055,5.0,1.0,56154.11072281174,False
1b,1000000000.0,2013-04-05,27,-4662180.23490875,4662180.23490875,4662180.23490875,0.013703869455349432,0.013703869455349432,0.18733960650128315,A,-0.00110214312705037,93243604.698175,5.0,1.0,5138.389902974759,False
1b,1000000000.0,2013-04-05,35,-30593694.627499998,30593694.627499998,30593694.627499998,0.009058367858686396,0.009058367858686396,0.06843455945252352,A,-0.0014049255879072797,611873892.55,5.0,1.0,42981.86441079622,False
1b,1000000000.0,2013-04-05,46,4833865.15783425,4833865.15783425,4833865.15783425,0.03843093810063496,0.03843093810063496,0.6398631308810949,A,-0.0005183325108137904,96677303.15668498,5.0,1.0,-2505.5494641955256,False
1b,1000000000.0,2013-04-05,64,-36366826.6775,36366826.6775,36366826.6775,0.011593248796660464,0.011593248796660464,0.1317365269461078,A,0.0038853185698246584,727336533.55,5.0,1.0,-141296.70701568553,False
1b,1000000000.0,2013-04-05,80,9380841.260625001,9380841.260625001,9380841.260625001,0.008559733683629845,0.008559733683629845,0.058169375534645,A,-0.002163583432561511,187616825.2125,5.0,1.0,-20296.232734977693,False
1b,1000000000.0,2013-04-05,83,-5102853.365,5102853.365,5102853.365,0.011744336615147784,0.011744336615147784,0.1343028229255774,A,-0.0016008687900187502,102057067.3,5.0,1.0,8168.998692070658,False
1b,1000000000.0,2013-04-05,167,-22051310.902500004,22051310.902500004,22051310.902500004,0.023610915299306128,0.023610915299306128,0.4354148845166809,A,-0.0022140758165161145,441026218.0500001,5.0,1.0,48823.27419170339,False
1b,1000000000.0,2013-04-05,169,-28448259.147500005,28448259.147500005,28448259.147500005,0.007718460093475477,0.007718460093475477,0.046193327630453376,A,-0.0004982227252893212,568965182.95,5.0,1.0,14173.569202204315,False
1b,1000000000.0,2013-04-05,187,79773653.194625,79773653.194625,79773653.194625,0.015211812366114233,0.015211812366114233,0.23609923011120615,A,0.0011613207048069007,1595473063.8925,5.0,1.0,92642.79515300319,False
1b,1000000000.0,2013-04-05,191,-4213050.465,4213050.465,4213050.465,0.022780182101616836,0.022780182101616836,0.41317365269461076,A,-0.0012777921483554389,84261009.3,5.0,1.0,5383.40280480223,False
1b,1000000000.0,2013-04-05,193,-5578455.3475,5578455.3475,5578455.3475,0.0028179527846963278,0.0028179527846963278,0.013686911890504704,A,0.00217942885893585,111569106.95,5.0,1.0,-12157.846572626517,False
1b,1000000000.0,2013-04-05,197,-8442897.22,8442897.22,8442897.22,0.011017122769516498,0.011017122769516498,0.11548331907613345,A,-0.0011109060265103166,168857944.4,5.0,1.0,9379.2654029052,False
1b,1000000000.0,2013-04-05,207,4621396.13,4621396.13,4621396.13,0.1565924262555726,0.1565924262555726,0.9520958083832335,C,0.00347105317527463,92427922.6,5.0,1.0,16041.111711238385,True
1b,1000000000.0,2013-04-05,213,-15068551.832575,15068551.832575,15068551.832575,0.014431008052180718,0.014431008052180718,0.21214713430282292,A,0.00011973624969963126,301371036.6515,5.0,1.0,-1804.2518848370364,False
1b,1000000000.0,2013-04-05,220,-67194847.6775715,67194847.6775715,67194847.6775715,0.030272893859675375,0.030272893859675375,0.5380667236954663,A,0.0036361538956384276,1343896953.55143,5.0,1.0,-244330.80714963237,False
1b,1000000000.0,2013-04-05,221,8522117.662691,8522117.662691,8522117.662691,0.18271791836496312,0.18271791836496312,0.9674935842600513,C,-0.0015225905187555844,170442353.25382,5.0,1.0,-12975.695552932819,True
1b,1000000000.0,2013-04-05,262,6854758.361300001,6854758.361300001,6854758.361300001,0.05543074070323322,0.05543074070323322,0.756201881950385,A,0.0008404553459346875,137095167.226,5.0,1.0,5761.118309845084,False
1b,1000000000.0,2013-04-05,271,-5336529.135000001,5336529.135000001,5336529.135000001,0.02519667377383108,0.02519667377383108,0.46535500427716,A,-0.0013824563732285355,106730582.7,5.0,1.0,7377.518713600515,False
1b,1000000000.0,2013-04-05,305,2035349.028325,2035349.028325,2035349.028325,0.18003180999875779,0.18003180999875779,0.9666381522668948,C,0.004211511464670137,40706980.5665,5.0,1.0,8571.895767395961,True
1b,1000000000.0,2013-04-05,307,-11256653.2925,11256653.2925,11256653.2925,0.022708985043316074,0.022708985043316074,0.41146278870829767,A,-0.0035770486723299966,225133065.85,5.0,1.0,40265.59671481621,False
1b,1000000000.0,2013-04-05,308,-7029183.972408,7029183.972408,7029183.972408,0.014300996029513234,0.014300996029513234,0.20530367835757057,A,-0.0005788160888750005,140583679.44816,5.0,1.0,4068.6047748920378,False
1b,1000000000.0,2013-04-05,342,-5525059.300100001,5525059.300100001,5525059.300100001,0.048410522517022894,0.048410522517022894,0.718562874251497,A,-0.0002853865517588039,110501186.002,5.0,1.0,1576.7776219184495,False
1b,1000000000.0,2013-04-05,344,4479246.998800001,4479246.998800001,4479246.998800001,0.025078758916802942,0.025078758916802942,0.4627887082976903,A,-0.010896111215479953,89584939.97600001,5.0,1.0,-48806.37346052961,False
1b,1000000000.0,2013-04-05,350,-1391146.335,1391146.335,1391146.335,0.013127728955989676,0.013127728955989676,0.17365269461077845,A,0.0020145441851360246,27822926.7,5.0,1.0,-2802.525759847542,False
1b,1000000000.0,2013-04-05,352,-7033671.0725,7033671.0725,7033671.0725,0.06126769076349361,0.06126769076349361,0.7852865697177075,A,-0.010179815207739473,140673421.45,5.0,1.0,71601.47175007271,False
