aum_label,aum,date,instrument_id,signed_position,abs_position,max_position_by_adv,feature_short_dsi,short_dsi,short_dsi_pct,borrow_tier,target_r_overnight_next,adv_dollar,adv_share_pct,cap_utilization,gross_pnl_contribution,high_short_interest_gt_10pct
50m,50000000.0,2013-04-05,4,449198.98913526547,449198.98913526547,16200202.2685,0.09762265773012156,0.09762265773012156,0.8870829769033362,B,0.001961580541161023,324004045.37,0.1386399322953816,0.027727986459076318,881.1399961969386,False
50m,50000000.0,2013-04-05,9,769618.7983961886,769618.7983961886,14096032.305275,0.01433784979624983,0.01433784979624983,0.20615911035072712,A,0.003983682039505387,281920646.1055,0.2729912863877954,0.05459825727755908,3065.9165844366144,False
50m,50000000.0,2013-04-05,27,-1304383.2061524102,1304383.2061524102,4662180.23490875,0.013703869455349432,0.013703869455349432,0.18733960650128315,A,-0.00110214312705037,93243604.698175,1.3988983055456028,0.27977966110912056,1437.616985700805,False
50m,50000000.0,2013-04-05,35,-1142508.1713419463,1142508.1713419463,30593694.627499998,0.009058367858686396,0.009058367858686396,0.06843455945252352,A,-0.0014049255879072797,611873892.55,0.18672281743882135,0.03734456348776427,1605.138964311455,False
50m,50000000.0,2013-04-05,46,925128.4549974605,925128.4549974605,4833865.15783425,0.03843093810063496,0.03843093810063496,0.6398631308810949,A,-0.0005183325108137904,96677303.15668498,0.9569241432998024,0.19138482865996043,-479.52415490411636,False
50m,50000000.0,2013-04-05,64,-590896.8517295556,590896.8517295556,36366826.6775,0.011593248796660464,0.011593248796660464,0.1317365269461078,A,0.0038853185698246584,727336533.55,0.08124118952824952,0.0162482379056499,-2295.82251087577,False
50m,50000000.0,2013-04-05,80,803779.2222396033,803779.2222396033,9380841.260625001,0.008559733683629845,0.008559733683629845,0.058169375534645,A,-0.002163583432561511,187616825.2125,0.4284153200701593,0.08568306401403186,-1739.0434086747825,False
50m,50000000.0,2013-04-05,83,-1209440.322722765,1209440.322722765,5102853.365,0.011744336615147784,0.011744336615147784,0.1343028229255774,A,-0.0016008687900187502,102057067.3,1.1850627837145042,0.2370125567429008,1936.1552660370794,False
50m,50000000.0,2013-04-05,167,-689940.4334735583,689940.4334735583,22051310.902500004,0.023610915299306128,0.023610915299306128,0.4354148845166809,A,-0.0022140758165161145,441026218.0500001,0.15643977732755524,0.031287955465511046,1527.5804285904505,False
50m,50000000.0,2013-04-05,169,-738221.2531137321,738221.2531137321,28448259.147500005,0.007718460093475477,0.007718460093475477,0.046193327630453376,A,-0.0004982227252893212,568965182.95,0.1297480540524755,0.025949610810495096,367.7986045928214,False
