year,avg_eligible_names,min_eligible_names,max_eligible_names,avg_universe_names
2000,0.0,0,0,0.0
2001,0.0,0,0,0.0
2002,0.0,0,0,0.0
2003,0.0,0,0,0.0
2004,0.0,0,0,0.0
2005,0.0,0,0,0.0
2006,0.0,0,0,0.0
2007,0.0,0,0,0.0
2008,0.0,0,0,0.0
2009,0.0,0,0,0.0
2010,521.6111111111111,477,577,1000.0
2011,562.015873015873,451,622,999.9960317460317
2012,561.548,487,594,999.996
2013,607.3730158730159,539,648,999.9960317460317
2014,685.1785714285714,580,731,1000.0
2015,719.3650793650794,582,774,999.9920634920635
2016,742.0238095238095,560,824,999.9920634920635
2017,782.199203187251,597,846,1000.0
2018,837.1434262948208,644,894,999.9960159362549
2019,826.8571428571429,626,894,999.9880952380952
2020,823.8814229249011,613,903,1000.0
2021,886.968253968254,673,968,1000.0
2022,894.1593625498008,667,953,999.9960159362549
2023,902.976,689,969,999.944
2024,923.3769841269841,0,988,1000.0
