year,eligibility_reason,stock_days
2000,NOT_YEARLY_UNIVERSE,232109
2001,NOT_YEARLY_UNIVERSE,233039
2002,NOT_YEARLY_UNIVERSE,243068
2003,NOT_YEARLY_UNIVERSE,247321
2004,NOT_YEARLY_UNIVERSE,254747
2005,NOT_YEARLY_UNIVERSE,262396
2006,NOT_YEARLY_UNIVERSE,267707
2007,NOT_YEARLY_UNIVERSE,276604
2008,NOT_YEARLY_UNIVERSE,284969
2009,NOT_YEARLY_UNIVERSE,286649
2010,ADV_FAIL,97440
2010,EARN_WINDOW,1773
2010,MCAP_FAIL,4595
2010,NOT_YEARLY_UNIVERSE,41215
2010,OK,131446
2010,PRICE_FAIL,16731
2010,VOL_FAIL,15
2011,ADV_FAIL,91899
2011,EARN_WINDOW,3190
2011,MCAP_FAIL,2181
2011,NOT_YEARLY_UNIVERSE,47498
2011,OK,141628
2011,PRICE_FAIL,12995
2011,VOL_FAIL,106
2012,ADV_FAIL,93796
2012,EARN_WINDOW,2985
2012,MCAP_FAIL,2086
2012,NOT_YEARLY_UNIVERSE,54580
2012,OK,140387
2012,PRICE_FAIL,10663
2012,VOL_FAIL,82
2013,ADV_FAIL,88497
2013,EARN_WINDOW,2858
2013,MCAP_FAIL,2798
2013,NOT_YEARLY_UNIVERSE,64900
2013,OK,153058
2013,PRICE_FAIL,4732
2013,VOL_FAIL,56
2014,ADV_FAIL,72476
2014,EARN_WINDOW,4083
2014,MCAP_FAIL,53
2014,NOT_YEARLY_UNIVERSE,76852
2014,OK,172665
2014,PRICE_FAIL,2622
2014,VOL_FAIL,101
2015,ADV_FAIL,61256
2015,EARN_WINDOW,6895
2015,NOT_YEARLY_UNIVERSE,87691
2015,OK,181280
2015,PRICE_FAIL,2551
2015,VOL_FAIL,16
2016,ADV_FAIL,55544
2016,EARN_WINDOW,7358
2016,NOT_YEARLY_UNIVERSE,95880
2016,OK,186990
2016,PRICE_FAIL,1818
2016,VOL_FAIL,288
2017,ADV_FAIL,45500
2017,EARN_WINDOW,7947
2017,NOT_YEARLY_UNIVERSE,105344
2017,OK,196332
2017,PRICE_FAIL,989
2017,VOL_FAIL,232
2018,ADV_FAIL,31589
2018,EARN_WINDOW,8773
2018,NOT_YEARLY_UNIVERSE,114209
2018,OK,210123
2018,PRICE_FAIL,395
2018,VOL_FAIL,119
2019,ADV_FAIL,33502
2019,EARN_WINDOW,8798
2019,NOT_YEARLY_UNIVERSE,122040
2019,OK,208368
2019,PRICE_FAIL,1171
2019,VOL_FAIL,158
2020,ADV_FAIL,29194
2020,EARN_WINDOW,9086
2020,NOT_YEARLY_UNIVERSE,128510
2020,OK,208442
2020,PRICE_FAIL,1738
2020,VOL_FAIL,4540
2021,ADV_FAIL,18046
2021,EARN_WINDOW,10056
2021,NOT_YEARLY_UNIVERSE,137593
2021,OK,223516
2021,PRICE_FAIL,48
2021,VOL_FAIL,334
2022,ADV_FAIL,15548
2022,EARN_WINDOW,10420
2022,NOT_YEARLY_UNIVERSE,142339
2022,OK,224434
2022,PRICE_FAIL,165
2022,VOL_FAIL,432
2023,ADV_FAIL,12754
2023,EARN_WINDOW,10849
2023,NOT_YEARLY_UNIVERSE,145094
2023,OK,225744
2023,PRICE_FAIL,405
2023,VOL_FAIL,234
2024,ADV_FAIL,6287
2024,EARN_WINDOW,11499
2024,MISSING_DATA,1000
2024,NOT_YEARLY_UNIVERSE,150613
2024,OK,232691
2024,VOL_FAIL,523
