rank,group_id,group_name,importance,importance_share,remaining_gain_share_if_removed,active_features,n_group_features,top_feature,top_feature_importance
1,C,Overnight history,8863.125,0.2525092920648501,0.7474907079351498,10,10,feature_r_overnight_lag5,1223.6041666666667
2,D,Intraday history,3994.0,0.11378854664771301,0.886211453352287,7,7,feature_r_intraday_lag3,816.2083333333334
3,A,Current overnight gap,3599.467261904762,0.10254835964901497,0.897451640350985,5,6,feature_r_overnight_t_norm,1087.75
4,N,Enhanced momentum/reversal,3527.3541666666665,0.10049386683444037,0.8995061331655596,5,6,feature_r_overnight_lag10,1302.0833333333333
5,K,Session beta and SEOR,3226.041666666667,0.09190951243739756,0.9080904875626025,3,3,feature_beta_on,1331.3541666666667
6,E,Volatility and liquidity,3163.059523809524,0.09011515928254704,0.9098848407174529,6,6,feature_vol60_lag1,755.5625
7,J,DS/TOI overnight-intraday spread,2842.833333333333,0.0809919562748306,0.9190080437251694,6,6,feature_ds_ma20,552.4791666666666
8,M,Four-factor overnight style,1981.3958333333333,0.056449712621140256,0.9435502873788597,4,4,feature_hlv,706.0625
9,H,Gap and range,1835.7708333333333,0.05230087508844791,0.9476991249115521,3,5,feature_open_to_prev_high,698.0416666666666
10,F,Short interest and borrow pressure,1043.4166666666667,0.02972680672208343,0.9702731932779166,2,5,feature_short_dsi,540.0
11,B,Prior close returns,1023.7291666666666,0.02916591237753489,0.9708340876224651,2,2,feature_r_close_to_close_lag1,607.6041666666666
12,G,Calendar,0.0,0.0,1.0,2,2,feature_month,0.0
13,I,Volume interaction,0.0,0.0,1.0,0,2,,0.0
14,L,Jump and PEAD,0.0,0.0,1.0,1,2,feature_pead_lag1,0.0
