predict_year,group_id,group_name,importance,importance_share
2013,C,Overnight history,25548,0.20603225806451614
2013,D,Intraday history,15419,0.12434677419354839
2013,N,Enhanced momentum/reversal,13555,0.10931451612903226
2013,A,Current overnight gap,12616,0.10174193548387096
2013,K,Session beta and SEOR,12471,0.1005725806451613
2013,J,DS/TOI overnight-intraday spread,12023,0.09695967741935484
2013,E,Volatility and liquidity,11241,0.09065322580645162
2013,H,Gap and range,7040,0.0567741935483871
2013,M,Four-factor overnight style,6017,0.0485241935483871
2013,F,Short interest and borrow pressure,4087,0.032959677419354835
2013,B,Prior close returns,3983,0.032120967741935486
2013,G,Calendar,0,0.0
2013,L,Jump and PEAD,0,0.0
2014,C,Overnight history,25037,0.20191129032258065
2014,D,Intraday history,15725,0.12681451612903225
2014,N,Enhanced momentum/reversal,13644,0.11003225806451612
2014,A,Current overnight gap,12436,0.10029032258064516
2014,K,Session beta and SEOR,12374,0.09979032258064516
2014,J,DS/TOI overnight-intraday spread,11859,0.09563709677419355
2014,E,Volatility and liquidity,11100,0.08951612903225807
2014,H,Gap and range,7350,0.059274193548387095
2014,M,Four-factor overnight style,6255,0.050443548387096776
2014,F,Short interest and borrow pressure,4314,0.03479032258064516
2014,B,Prior close returns,3906,0.0315
2014,G,Calendar,0,0.0
2014,L,Jump and PEAD,0,0.0
2015,C,Overnight history,27317,0.22029838709677418
2015,D,Intraday history,15205,0.12262096774193548
2015,N,Enhanced momentum/reversal,13096,0.10561290322580645
2015,K,Session beta and SEOR,12179,0.09821774193548387
2015,E,Volatility and liquidity,12163,0.09808870967741935
2015,A,Current overnight gap,12064,0.09729032258064516
2015,J,DS/TOI overnight-intraday spread,11124,0.08970967741935484
2015,H,Gap and range,6701,0.05404032258064516
2015,M,Four-factor overnight style,6072,0.04896774193548387
2015,F,Short interest and borrow pressure,4120,0.0332258064516129
2015,B,Prior close returns,3959,0.03192741935483871
2015,G,Calendar,0,0.0
2015,L,Jump and PEAD,0,0.0
2016,C,Overnight history,31712,0.255741935483871
2016,D,Intraday history,14972,0.12074193548387097
2016,N,Enhanced momentum/reversal,13213,0.10655645161290322
2016,K,Session beta and SEOR,12672,0.10219354838709678
2016,A,Current overnight gap,12142,0.09791935483870967
2016,E,Volatility and liquidity,11779,0.09499193548387097
2016,J,DS/TOI overnight-intraday spread,10912,0.088
2016,H,Gap and range,6768,0.054580645161290325
2016,M,Four-factor overnight style,5865,0.04729838709677419
2016,B,Prior close returns,3965,0.0319758064516129
2016,G,Calendar,0,0.0
2016,L,Jump and PEAD,0,0.0
2017,C,Overnight history,29166,0.23520967741935483
2017,D,Intraday history,15959,0.1287016129032258
2017,N,Enhanced momentum/reversal,13769,0.11104032258064517
2017,A,Current overnight gap,12939,0.10434677419354839
2017,E,Volatility and liquidity,12035,0.09705645161290323
2017,K,Session beta and SEOR,12000,0.0967741935483871
2017,J,DS/TOI overnight-intraday spread,11301,0.09113709677419354
2017,H,Gap and range,7142,0.05759677419354839
2017,M,Four-factor overnight style,5655,0.04560483870967742
2017,B,Prior close returns,4034,0.03253225806451613
2017,G,Calendar,0,0.0
2017,L,Jump and PEAD,0,0.0
2018,C,Overnight history,29190,0.23540322580645162
2018,D,Intraday history,16216,0.1307741935483871
2018,N,Enhanced momentum/reversal,13825,0.11149193548387097
2018,A,Current overnight gap,12997,0.10481451612903225
2018,E,Volatility and liquidity,11839,0.09547580645161291
2018,K,Session beta and SEOR,11836,0.0954516129032258
2018,J,DS/TOI overnight-intraday spread,11310,0.09120967741935485
2018,H,Gap and range,7123,0.057443548387096775
2018,M,Four-factor overnight style,5732,0.0462258064516129
2018,B,Prior close returns,3932,0.03170967741935484
2018,G,Calendar,0,0.0
2018,L,Jump and PEAD,0,0.0
2019,C,Overnight history,25005,0.20165322580645162
2019,D,Intraday history,17850,0.1439516129032258
2019,N,Enhanced momentum/reversal,13956,0.1125483870967742
2019,A,Current overnight gap,13713,0.11058870967741935
2019,J,DS/TOI overnight-intraday spread,12540,0.10112903225806452
2019,K,Session beta and SEOR,12063,0.09728225806451613
2019,E,Volatility and liquidity,12044,0.09712903225806452
2019,H,Gap and range,7316,0.059
2019,M,Four-factor overnight style,5288,0.04264516129032258
2019,B,Prior close returns,4225,0.03407258064516129
2019,G,Calendar,0,0.0
2019,L,Jump and PEAD,0,0.0
2020,C,Overnight history,27134,0.2188225806451613
2020,D,Intraday history,16939,0.1366048387096774
2020,N,Enhanced momentum/reversal,14723,0.11873387096774193
2020,K,Session beta and SEOR,13332,0.10751612903225806
2020,E,Volatility and liquidity,12864,0.10374193548387096
