feature,importance
feature_beta_on,1331.3541666666667
feature_r_overnight_lag10,1302.0833333333333
feature_r_overnight_lag5,1223.6041666666667
feature_r_overnight_lag4,1199.125
feature_r_overnight_lag3,1197.7291666666667
feature_r_overnight_lag2,1142.0833333333333
feature_r_overnight_t_norm,1087.75
feature_beta_id,974.0208333333334
feature_r_overnight_t,941.3214285714286
feature_r_overnight_lag1,932.6875
feature_seor_lag1,920.6666666666666
feature_r_intraday_lag3,816.2083333333334
feature_r_intraday_lag2,815.6666666666666
feature_r_overnight_t_norm_rank,795.3958333333334
feature_r_overnight_t_rank,775.0
feature_vol60_lag1,755.5625
feature_r_overnight_ma10,755.4583333333334
feature_r_overnight_std20,720.5625
feature_r_overnight_ma20,714.1666666666666
feature_r_overnight_sum20_rank,710.1458333333334
feature_hlv,706.0625
feature_open_to_prev_high,698.0416666666666
feature_close_position_lag1,635.0208333333334
feature_mom5d_lag1,619.5416666666666
feature_r_close_to_close_lag1,607.6041666666666
feature_pre,600.75
feature_mom5d_rank,575.0416666666666
feature_ds_ma20,552.4791666666666
feature_r_intraday_sum10,551.0208333333334
feature_vol,550.75
feature_vol5_lag1,543.0
feature_short_dsi,540.0
feature_ds_lag1,538.2916666666666
feature_adv20_lag1,519.3928571428571
feature_r_overnight_ma5,518.1041666666666
short_dsi_pct,503.4166666666667
feature_range_ratio_lag1,502.7083333333333
feature_r_intraday_sum20_rank,493.7708333333333
feature_vol20_lag1,489.3541666666667
feature_ds_ma5,468.6875
feature_r_overnight_cum5,459.6041666666667
feature_ds_ma10,458.1458333333333
feature_gk_vol20_lag1,451.8958333333333
feature_r_intraday_sum5_rank,442.9791666666667
feature_r_intraday_ma5,440.6458333333333
feature_r_intraday_sum10_rank,433.7083333333333
feature_ds_ma10_rank,423.6041666666667
feature_r_intraday_lag1,416.125
feature_parkinson_vol20_lag1,403.8541666666667
feature_ds_ma20_rank,401.625
feature_on_pos_frac20,320.5416666666667
feature_mom,123.83333333333333
feature_pead_lag1,0.0
feature_month,0.0
feature_earnings_today,0.0
feature_day_of_week,0.0
