aum_label,aum,date,instrument_id,signed_position,abs_position,max_position_by_adv,feature_short_dsi,short_dsi,short_dsi_pct,borrow_tier,target_r_overnight_next,adv_dollar,adv_share_pct,cap_utilization,gross_pnl_contribution,high_short_interest_gt_10pct
250m,250000000.0,2013-04-05,4,3349993.7673698138,3349993.7673698138,16200202.2685,0.09762265773012156,0.09762265773012156,0.8870829769033362,B,0.001961580541161023,324004045.37,1.033935784210426,0.20678715684208518,6571.282587083334,False
250m,250000000.0,2013-04-05,9,5739590.337994969,5739590.337994969,14096032.305275,0.01433784979624983,0.01433784979624983,0.20615911035072712,A,0.003983682039505387,281920646.1055,2.0358886152123485,0.4071777230424697,22864.702943589215,False
250m,250000000.0,2013-04-05,27,-4662180.23490875,4662180.23490875,4662180.23490875,0.013703869455349432,0.013703869455349432,0.18733960650128315,A,-0.00110214312705037,93243604.698175,5.0,1.0,5138.389902974759,False
250m,250000000.0,2013-04-05,35,-7057485.052286125,7057485.052286125,30593694.627499998,0.009058367858686396,0.009058367858686396,0.06843455945252352,A,-0.0014049255879072797,611873892.55,1.1534215037144135,0.2306843007428827,9915.241336229923,False
250m,250000000.0,2013-04-05,46,4833865.15783425,4833865.15783425,4833865.15783425,0.03843093810063496,0.03843093810063496,0.6398631308810949,A,-0.0005183325108137904,96677303.15668498,5.0,1.0,-2505.5494641955256,False
250m,250000000.0,2013-04-05,64,-3650079.538272413,3650079.538272413,36366826.6775,0.011593248796660464,0.011593248796660464,0.1317365269461078,A,0.0038853185698246584,727336533.55,0.5018419080995459,0.10036838161990914,-14181.72181138682,False
250m,250000000.0,2013-04-05,80,5994348.718432219,5994348.718432219,9380841.260625001,0.008559733683629845,0.008559733683629845,0.058169375534645,A,-0.002163583432561511,187616825.2125,3.194995284480938,0.6389990568961875,-12969.273576196274,False
250m,250000000.0,2013-04-05,83,-5102853.365,5102853.365,5102853.365,0.011744336615147784,0.011744336615147784,0.1343028229255774,A,-0.0016008687900187502,102057067.3,5.0,1.0,8168.998692070658,False
250m,250000000.0,2013-04-05,167,-4261890.127655034,4261890.127655034,22051310.902500004,0.023610915299306128,0.023610915299306128,0.4354148845166809,A,-0.0022140758165161145,441026218.0500001,0.9663575436623711,0.19327150873247426,9436.147864289787,False
250m,250000000.0,2013-04-05,169,-4560129.71269225,4560129.71269225,28448259.147500005,0.007718460093475477,0.007718460093475477,0.046193327630453376,A,-0.0004982227252893212,568965182.95,0.8014778143450982,0.16029556286901964,2271.9602531303417,False
250m,250000000.0,2013-04-05,187,5425915.65327653,5425915.65327653,79773653.194625,0.015211812366114233,0.015211812366114233,0.23609923011120615,A,0.0011613207048069007,1595473063.8925,0.3400819340715688,0.06801638681431375,6301.228190685895,False
250m,250000000.0,2013-04-05,191,-4213050.465,4213050.465,4213050.465,0.022780182101616836,0.022780182101616836,0.41317365269461076,A,-0.0012777921483554389,84261009.3,5.0,1.0,5383.40280480223,False
250m,250000000.0,2013-04-05,193,-5578455.3475,5578455.3475,5578455.3475,0.0028179527846963278,0.0028179527846963278,0.013686911890504704,A,0.00217942885893585,111569106.95,5.0,1.0,-12157.846572626517,False
250m,250000000.0,2013-04-05,197,-8306848.831923477,8306848.831923477,8442897.22,0.011017122769516498,0.011017122769516498,0.11548331907613345,A,-0.0011109060265103166,168857944.4,4.91943027107197,0.983886054214394,9228.128428693975,False
250m,250000000.0,2013-04-05,207,4621396.13,4621396.13,4621396.13,0.1565924262555726,0.1565924262555726,0.9520958083832335,C,0.00347105317527463,92427922.6,5.0,1.0,16041.111711238385,True
250m,250000000.0,2013-04-05,213,-5118130.896801416,5118130.896801416,15068551.832575,0.014431008052180718,0.014431008052180718,0.21214713430282292,A,0.00011973624969963126,301371036.6515,1.698282274789375,0.339656454957875,-612.825799054812,False
250m,250000000.0,2013-04-05,220,-1781863.487643856,1781863.487643856,67194847.6775715,0.030272893859675375,0.030272893859675375,0.5380667236954663,A,0.0036361538956384276,1343896953.55143,0.1325892943603332,0.026517858872066643,-6479.1298620920825,False
250m,250000000.0,2013-04-05,221,5148975.00549826,5148975.00549826,8522117.662691,0.18271791836496312,0.18271791836496312,0.9674935842600513,C,-0.0015225905187555844,170442353.25382,3.0209480843241407,0.6041896168648281,-7839.780524681134,True
250m,250000000.0,2013-04-05,262,4276457.087525777,4276457.087525777,6854758.361300001,0.05543074070323322,0.05543074070323322,0.756201881950385,A,0.0008404553459346875,137095167.226,3.119334673902895,0.6238669347805791,3594.171220871323,False
250m,250000000.0,2013-04-05,271,-3824850.3689672626,3824850.3689672626,5336529.135000001,0.02519667377383108,0.02519667377383108,0.46535500427716,A,-0.0013824563732285355,106730582.7,3.5836498519999767,0.7167299703999952,5287.688769224308,False
250m,250000000.0,2013-04-05,305,2035349.028325,2035349.028325,2035349.028325,0.18003180999875779,0.18003180999875779,0.9666381522668948,C,0.004211511464670137,40706980.5665,5.0,1.0,8571.895767395961,True
250m,250000000.0,2013-04-05,307,-3092710.5589806587,3092710.5589806587,11256653.2925,0.022708985043316074,0.022708985043316074,0.41146278870829767,A,-0.0035770486723299966,225133065.85,1.373725599704331,0.27474511994086614,11062.776198902726,False
250m,250000000.0,2013-04-05,308,-5452311.115553585,5452311.115553585,7029183.972408,0.014300996029513234,0.014300996029513234,0.20530367835757057,A,-0.0005788160888750005,140583679.44816,3.878338607266369,0.7756677214532737,3155.8853952344166,False
250m,250000000.0,2013-04-05,342,-5525059.300100001,5525059.300100001,5525059.300100001,0.048410522517022894,0.048410522517022894,0.718562874251497,A,-0.0002853865517588039,110501186.002,5.0,1.0,1576.7776219184495,False
250m,250000000.0,2013-04-05,344,4479246.998800001,4479246.998800001,4479246.998800001,0.025078758916802942,0.025078758916802942,0.4627887082976903,A,-0.010896111215479953,89584939.97600001,5.0,1.0,-48806.37346052961,False
250m,250000000.0,2013-04-05,350,-1391146.335,1391146.335,1391146.335,0.013127728955989676,0.013127728955989676,0.17365269461077845,A,0.0020145441851360246,27822926.7,5.0,1.0,-2802.525759847542,False
250m,250000000.0,2013-04-05,352,-7033671.0725,7033671.0725,7033671.0725,0.06126769076349361,0.06126769076349361,0.7852865697177075,A,-0.010179815207739473,140673421.45,5.0,1.0,71601.47175007271,False
250m,250000000.0,2013-04-05,362,5028425.7115727505,5028425.7115727505,5028425.7115727505,0.009437818587493757,0.009437818587493757,0.07442258340461934,A,6.847448552615987e-07,100568514.231455,5.0,1.0,3.4431886360645843,False
250m,250000000.0,2013-04-05,363,6913625.710482002,6913625.710482002,13016417.595,0.011020030162023856,0.011020030162023856,0.11633875106929,A,0.0008510196877826726,260328351.9,2.655732908084378,0.5311465816168756,5883.6315935806515,False
250m,250000000.0,2013-04-05,410,-4943857.095738701,4943857.095738701,6865757.495000001,0.018175422645234446,0.018175422645234446,0.31394354148845166,A,0.017097051347836123,137315149.9,3.60037264594553,0.7200745291891059,-84525.37862220853,False
250m,250000000.0,2013-04-05,468,-6458715.8875,6458715.8875,6458715.8875,0.012657913307008845,0.012657913307008845,0.16253207869974337,A,0.0009848566868424502,129174317.75,5.0,1.0,-6360.909530219946,False
